-3.3761e-17,-3.5774e-17,-3.7067e-17,-3.9721e-17,-3.9999e-17,-4.0508e-17,-4.1184e-17,-4.2011e-17,-4.1906e-17,-4.3694e-17,-4.4735e-17,-4.5018e-17,-4.698e-17,-4.8299e-17,-4.8545e-17,-4.848e-17,-4.9251e-17,-5.0488e-17,-5.1694e-17,-5.3056e-17,-5.3946e-17,-5.4088e-17,-5.5152e-17,-5.5848e-17,-5.6257e-17,-5.654e-17,-5.6553e-17,-5.8201e-17,-6.1861e-17,-6.2621e-17,-6.4008e-17,-6.4514e-17,-6.5409e-17,-6.6052e-17,-6.6916e-17,-6.9283e-17,-7.0676e-17,-7.1168e-17,-7.232e-17,-7.3317e-17,-7.348e-17,-7.5565e-17,-7.5431e-17,-7.6395e-17,-7.6226e-17,-7.7492e-17,-7.9473e-17,-8.0499e-17,-8.0349e-17,-8.4463e-17
0.45442,0.4427,0.43488,0.42339,0.4223,0.4174,0.41779,0.41394,0.41523,0.40768,0.40406,0.40315,0.3953,0.39261,0.39167,0.39186,0.39108,0.38761,0.3843,0.3803,0.37827,0.37905,0.37529,0.37364,0.37313,0.37204,0.37173,0.36722,0.35865,0.3551,0.35338,0.35191,0.35138,0.34907,0.34825,0.34108,0.34196,0.33982,0.33734,0.33544,0.33609,0.33283,0.33283,0.33146,0.33108,0.32921,0.32637,0.32582,0.32476,0.31708
0.9084,0.88497,0.86932,0.84636,0.84418,0.83438,0.83517,0.82748,0.83005,0.81496,0.80773,0.80591,0.79021,0.78483,0.78295,0.78334,0.78178,0.77483,0.76823,0.76022,0.75617,0.75773,0.7502,0.74691,0.7459,0.74371,0.74309,0.73409,0.71696,0.70985,0.70641,0.70348,0.70241,0.6978,0.69615,0.68183,0.68358,0.6793,0.67434,0.67056,0.67185,0.66532,0.66533,0.66259,0.66184,0.65811,0.65243,0.65131,0.6492,0.63386
1.3615,1.3264,1.3029,1.2685,1.2652,1.2505,1.2517,1.2402,1.2441,1.2214,1.2106,1.2079,1.1843,1.1763,1.1735,1.174,1.1717,1.1613,1.1514,1.1394,1.1333,1.1357,1.1244,1.1194,1.1179,1.1147,1.1137,1.1002,1.0746,1.0639,1.0588,1.0544,1.0528,1.0458,1.0434,1.0219,1.0245,1.0181,1.0107,1.005,1.007,0.99717,0.99718,0.99307,0.99195,0.98635,0.97784,0.97617,0.973,0.95001
1.8132,1.7664,1.7352,1.6894,1.685,1.6655,1.6671,1.6517,1.6568,1.6267,1.6123,1.6086,1.5773,1.5666,1.5628,1.5636,1.5605,1.5466,1.5334,1.5174,1.5094,1.5125,1.4975,1.4909,1.4889,1.4845,1.4833,1.4653,1.4311,1.4169,1.4101,1.4042,1.4021,1.3929,1.3896,1.361,1.3645,1.3559,1.346,1.3385,1.3411,1.328,1.328,1.3226,1.3211,1.3136,1.3023,1.3001,1.2958,1.2652
2.2632,2.2048,2.1658,2.1086,2.1032,2.0788,2.0807,2.0616,2.068,2.0304,2.0124,2.0078,1.9687,1.9553,1.9506,1.9516,1.9477,1.9304,1.914,1.894,1.8839,1.8878,1.8691,1.8608,1.8583,1.8529,1.8513,1.8289,1.7862,1.7685,1.76,1.7527,1.75,1.7385,1.7344,1.6987,1.7031,1.6924,1.6801,1.6706,1.6739,1.6576,1.6576,1.6508,1.6489,1.6396,1.6255,1.6227,1.6174,1.5792
2.7109,2.641,2.5943,2.5257,2.5193,2.49,2.4924,2.4694,2.4771,2.432,2.4105,2.4051,2.3582,2.3421,2.3365,2.3377,2.333,2.3123,2.2926,2.2687,2.2566,2.2613,2.2388,2.229,2.226,2.2194,2.2176,2.1907,2.1396,2.1184,2.1081,2.0994,2.0962,2.0824,2.0775,2.0348,2.04,2.0272,2.0124,2.0011,2.005,1.9855,1.9855,1.9774,1.9751,1.964,1.947,1.9437,1.9374,1.8916
3.156,3.0745,3.0202,2.9404,2.9328,2.8988,2.9015,2.8748,2.8838,2.8313,2.8062,2.7999,2.7453,2.7266,2.7201,2.7215,2.7161,2.6919,2.669,2.6412,2.6271,2.6325,2.6064,2.5949,2.5914,2.5838,2.5817,2.5504,2.4909,2.4662,2.4542,2.4441,2.4403,2.4243,2.4186,2.3688,2.3749,2.36,2.3428,2.3297,2.3342,2.3115,2.3115,2.302,2.2994,2.2864,2.2667,2.2628,2.2554,2.2022
3.5979,3.5051,3.4431,3.3522,3.3435,3.3047,3.3079,3.2774,3.2876,3.2278,3.1992,3.192,3.1298,3.1085,3.101,3.1026,3.0964,3.0689,3.0427,3.011,2.995,3.0012,2.9713,2.9583,2.9543,2.9456,2.9432,2.9075,2.8397,2.8115,2.7979,2.7863,2.782,2.7638,2.7573,2.7006,2.7075,2.6905,2.6709,2.6559,2.661,2.6352,2.6352,2.6243,2.6214,2.6066,2.5841,2.5797,2.5713,2.5105
4.0363,3.9322,3.8627,3.7606,3.7509,3.7074,3.7109,3.6768,3.6882,3.6211,3.589,3.5809,3.5111,3.4872,3.4789,3.4806,3.4737,3.4428,3.4135,3.3779,3.3599,3.3668,3.3334,3.3188,3.3143,3.3045,3.3018,3.2618,3.1857,3.1541,3.1388,3.1258,3.121,3.1006,3.0932,3.0296,3.0374,3.0184,2.9963,2.9795,2.9853,2.9563,2.9563,2.9441,2.9408,2.9242,2.899,2.894,2.8846,2.8165
