-3.3279e-17,-3.4669e-17,-3.4773e-17,-3.5413e-17,-3.5901e-17,-3.657e-17,-3.7498e-17,-3.7639e-17,-3.815e-17,-3.9344e-17,-4.0784e-17,-4.0825e-17,-4.1775e-17,-4.1703e-17,-4.3344e-17,-4.3784e-17,-4.3972e-17,-4.5396e-17,-4.6772e-17,-4.6736e-17,-4.7401e-17,-4.7715e-17,-4.8233e-17,-4.8489e-17,-4.9933e-17,-5.0387e-17,-5.3911e-17,-5.5838e-17,-5.7045e-17,-5.8925e-17,-5.9606e-17,-6.342e-17,-6.3442e-17,-6.3913e-17,-6.7116e-17,-6.9695e-17,-7.1089e-17,-7.2162e-17,-7.2682e-17,-7.3141e-17,-7.4039e-17,-7.4473e-17,-7.6892e-17,-7.8919e-17,-8.0031e-17,-8.0718e-17,-8.12e-17,-8.1568e-17,-8.2151e-17,-8.2099e-17
0.45746,0.45183,0.45184,0.44946,0.44862,0.44404,0.44153,0.4421,0.43748,0.43304,0.4296,0.42885,0.42645,0.4263,0.41776,0.41604,0.41547,0.41107,0.4047,0.40451,0.40348,0.4027,0.40113,0.39952,0.39442,0.39525,0.38119,0.37414,0.37369,0.3667,0.36412,0.35499,0.3549,0.35414,0.34684,0.34215,0.34073,0.33641,0.33666,0.33595,0.33408,0.3343,0.32945,0.32619,0.32447,0.32254,0.3225,0.32169,0.32077,0.32086
0.91448,0.90321,0.90324,0.89848,0.8968,0.88765,0.88262,0.88376,0.87452,0.86565,0.85877,0.85728,0.85249,0.85218,0.8351,0.83166,0.83053,0.82173,0.80899,0.80862,0.80657,0.80501,0.80187,0.79866,0.78844,0.79011,0.76201,0.74792,0.74702,0.73305,0.72789,0.70963,0.70945,0.70792,0.69334,0.68397,0.68113,0.67248,0.67299,0.67156,0.66784,0.66828,0.65858,0.65205,0.64862,0.64476,0.64468,0.64307,0.64122,0.6414
1.3706,1.3537,1.3537,1.3466,1.3441,1.3304,1.3228,1.3245,1.3107,1.2974,1.2871,1.2849,1.2777,1.2772,1.2516,1.2465,1.2448,1.2316,1.2125,1.2119,1.2089,1.2065,1.2018,1.197,1.1817,1.1842,1.1421,1.121,1.1196,1.0987,1.0909,1.0636,1.0633,1.061,1.0392,1.0251,1.0209,1.0079,1.0087,1.0065,1.0009,1.0016,0.98706,0.97728,0.97213,0.96635,0.96623,0.96381,0.96104,0.96131
1.8254,1.8029,1.8029,1.7934,1.7901,1.7718,1.7618,1.764,1.7456,1.7279,1.7142,1.7112,1.7016,1.701,1.6669,1.6601,1.6578,1.6402,1.6148,1.6141,1.61,1.6069,1.6006,1.5942,1.5738,1.5771,1.521,1.4929,1.4911,1.4632,1.4529,1.4165,1.4161,1.4131,1.384,1.3652,1.3596,1.3423,1.3433,1.3405,1.333,1.3339,1.3146,1.3015,1.2947,1.287,1.2868,1.2836,1.2799,1.2803
2.2783,2.2502,2.2503,2.2385,2.2343,2.2115,2.199,2.2018,2.1788,2.1567,2.1395,2.1358,2.1239,2.1231,2.0806,2.072,2.0692,2.0472,2.0155,2.0146,2.0095,2.0056,1.9978,1.9898,1.9643,1.9685,1.8985,1.8634,1.8611,1.8263,1.8135,1.768,1.7675,1.7637,1.7274,1.704,1.697,1.6754,1.6767,1.6731,1.6638,1.665,1.6408,1.6245,1.616,1.6064,1.6062,1.6021,1.5975,1.598
2.729,2.6954,2.6955,2.6813,2.6763,2.649,2.634,2.6374,2.6098,2.5833,2.5628,2.5584,2.544,2.5431,2.4922,2.4819,2.4785,2.4523,2.4143,2.4131,2.407,2.4024,2.393,2.3834,2.3529,2.3579,2.274,2.232,2.2293,2.1876,2.1722,2.1177,2.1172,2.1126,2.0691,2.0411,2.0327,2.0069,2.0084,2.0041,1.993,1.9943,1.9654,1.9459,1.9356,1.9241,1.9239,1.9191,1.9136,1.9141
3.1771,3.1379,3.138,3.1215,3.1157,3.0839,3.0664,3.0703,3.0383,3.0074,2.9835,2.9784,2.9617,2.9607,2.9013,2.8894,2.8854,2.8548,2.8106,2.8093,2.8022,2.7968,2.7859,2.7747,2.7392,2.745,2.6474,2.5984,2.5953,2.5468,2.5288,2.4654,2.4648,2.4595,2.4088,2.3762,2.3664,2.3364,2.3381,2.3332,2.3202,2.3217,2.2881,2.2654,2.2534,2.24,2.2398,2.2342,2.2277,2.2284
3.622,3.5773,3.5775,3.5586,3.552,3.5157,3.4958,3.5003,3.4637,3.4286,3.4013,3.3954,3.3765,3.3753,3.3076,3.294,3.2895,3.2546,3.2042,3.2027,3.1946,3.1884,3.176,3.1632,3.1228,3.1294,3.0181,2.9623,2.9587,2.9034,2.883,2.8106,2.8099,2.8039,2.7461,2.709,2.6978,2.6635,2.6655,2.6599,2.6451,2.6469,2.6085,2.5826,2.569,2.5537,2.5534,2.547,2.5397,2.5404
4.0633,4.0132,4.0134,3.9922,3.9848,3.9441,3.9218,3.9268,3.8858,3.8464,3.8158,3.8092,3.7879,3.7865,3.7106,3.6953,3.6903,3.6512,3.5946,3.593,3.5839,3.5769,3.563,3.5487,3.5033,3.5107,3.3858,3.3233,3.3193,3.2572,3.2343,3.1531,3.1523,3.1455,3.0807,3.0391,3.0265,2.9881,2.9903,2.984,2.9674,2.9694,2.9263,2.8973,2.882,2.8649,2.8645,2.8574,2.8492,2.8499
4.5006,4.4452,4.4453,4.4219,4.4136,4.3686,4.3438,4.3494,4.304,4.2603,4.2265,4.2191,4.1955,4.194,4.11,4.093,4.0875,4.0442,3.9815,3.9797,3.9696,3.9619,3.9464,3.9306,3.8804,3.8885,3.7502,3.6809,3.6765,3.6077,3.5823,3.4925,3.4916,3.4841,3.4123,3.3662,3.3522,3.3097,3.3122,3.3051,3.2868,3.289,3.2412,3.2091,3.1922,3.1732,3.1728,3.1649,3.1558,3.1567
4.9335,4.8727,4.8729,4.8472,4.8381,4.7888,4.7616,4.7678,4.7179,4.6701,4.633,4.6249,4.5991,4.5974,4.5053,4.4867,4.4806,4.4331,4.3644,4.3624,4.3514,4.343,4.326,4.3087,4.2536,4.2625,4.111,4.035,4.0301,3.9547,3.9269,3.8284,3.8274,3.8192,3.7405,3.69,3.6747,3.628,3.6307,3.623,3.6029,3.6053,3.553,3.5178,3.4992,3.4784,3.478,3.4693,3.4593,3.4603
5.3615,5.2954,5.2956,5.2677,5.2579,5.2042,5.1748,5.1814,5.1273,5.0753,5.0349,5.0262,4.9981,4.9963,4.8962,4.876,4.8694,4.8177,4.7431,4.7409,4.7289,4.7198,4.7013,4.6825,4.6226,4.6324,4.4676,4.385,4.3798,4.2978,4.2676,4.1605,4.1595,4.1505,4.065,4.0101,3.9935,3.9428,3.9457,3.9374,3.9155,3.9181,3.8613,3.823,3.8028,3.7802,3.7798,3.7703,3.7595,3.7605
5.7842,5.713,5.7132,5.683,5.6724,5.6146,5.5828,5.5899,5.5315,5.4754,5.4319,5.4225,5.3921,5.3902,5.2822,5.2604,5.2533,5.1976,5.1171,5.1147,5.1017,5.0919,5.072,5.0517,4.9871,4.9976,4.8199,4.7308,4.7251,4.6367,4.6041,4.4886,4.4875,4.4778,4.3856,4.3263,4.3083,4.2536,4.2568,4.2478,4.2242,4.227,4.1657,4.1244,4.1027,4.0783,4.0778,4.0676,4.0559,4.057
6.2013,6.1248,6.1251,6.0928,6.0814,6.0193,5.9853,5.9929,5.9303,5.8702,5.8235,5.8134,5.7809,5.7789,5.663,5.6397,5.632,5.5723,5.486,5.4835,5.4696,5.459,5.4377,5.4159,5.3466,5.3579,5.1674,5.0718,5.0657,4.971,4.936,4.8122,4.811,4.8006,4.7017,4.6382,4.6189,4.5603,4.5637,4.5541,4.5288,4.5318,4.466,4.4218,4.3985,4.3723,4.3718,4.3609,4.3483,4.3495
