4.0684e-09,4.3006e-09,4.4852e-09,4.7567e-09,4.7838e-09,4.8985e-09,4.9698e-09,5.0577e-09,5.078e-09,5.2722e-09,5.3944e-09,5.4218e-09,5.6787e-09,5.8439e-09,5.8685e-09,5.8854e-09,5.9502e-09,6.0882e-09,6.1972e-09,6.4197e-09,6.4944e-09,6.5119e-09,6.6753e-09,6.7329e-09,6.7738e-09,6.8348e-09,6.8441e-09,7.0515e-09,7.4192e-09,7.5813e-09,7.7237e-09,7.8154e-09,7.8459e-09,7.9568e-09,8.0646e-09,8.4012e-09,8.4519e-09,8.5795e-09,8.7429e-09,8.849e-09,8.8932e-09,9.1178e-09,9.1317e-09,9.2176e-09,9.2395e-09,9.3511e-09,9.5633e-09,9.6707e-09,9.7377e-09,1.0221e-08
6.0318,6.0368,6.0512,6.0603,6.0612,6.0632,6.0925,6.0932,6.1132,6.1163,6.1266,6.1286,6.1402,6.1702,6.1727,6.1773,6.193,6.2036,6.2041,6.2341,6.2361,6.2493,6.2593,6.262,6.2674,6.2716,6.2726,6.2858,6.2932,6.2944,6.3146,6.3209,6.3235,6.3259,6.3429,6.3434,6.3656,6.3723,6.3799,6.3819,6.4008,6.4146,6.4152,6.416,6.4168,6.4195,6.4303,6.446,6.449,6.4492
12.058,12.068,12.096,12.115,12.116,12.12,12.179,12.18,12.22,12.227,12.247,12.251,12.274,12.334,12.339,12.349,12.38,12.401,12.402,12.462,12.466,12.492,12.512,12.518,12.529,12.537,12.539,12.565,12.58,12.583,12.623,12.636,12.641,12.646,12.68,12.681,12.725,12.738,12.754,12.757,12.795,12.823,12.824,12.826,12.827,12.833,12.854,12.886,12.892,12.892
18.072,18.087,18.13,18.157,18.16,18.166,18.253,18.256,18.315,18.325,18.356,18.362,18.396,18.486,18.494,18.508,18.555,18.586,18.588,18.678,18.684,18.723,18.753,18.761,18.778,18.79,18.793,18.833,18.855,18.858,18.919,18.938,18.945,18.953,19.004,19.005,19.072,19.092,19.115,19.12,19.177,19.219,19.22,19.223,19.225,19.233,19.265,19.313,19.322,19.322
24.068,24.088,24.145,24.182,24.185,24.193,24.31,24.313,24.392,24.405,24.446,24.454,24.5,24.62,24.63,24.648,24.711,24.753,24.755,24.875,24.883,24.935,24.976,24.986,25.008,25.024,25.029,25.081,25.111,25.116,25.196,25.221,25.232,25.241,25.309,25.311,25.4,25.426,25.457,25.464,25.54,25.595,25.597,25.601,25.604,25.615,25.658,25.72,25.732,25.733
30.04,30.065,30.137,30.182,30.187,30.196,30.342,30.346,30.445,30.461,30.512,30.522,30.58,30.729,30.742,30.765,30.843,30.896,30.898,31.048,31.057,31.123,31.173,31.187,31.214,31.234,31.24,31.305,31.342,31.348,31.449,31.48,31.493,31.505,31.59,31.592,31.703,31.736,31.774,31.783,31.878,31.947,31.949,31.953,31.957,31.971,32.025,32.103,32.118,32.119
35.983,36.013,36.098,36.153,36.158,36.17,36.345,36.349,36.468,36.487,36.548,36.56,36.63,36.809,36.823,36.851,36.945,37.008,37.01,37.19,37.201,37.28,37.34,37.356,37.388,37.413,37.42,37.498,37.542,37.549,37.67,37.707,37.723,37.737,37.839,37.842,37.974,38.014,38.059,38.071,38.184,38.267,38.27,38.275,38.28,38.296,38.36,38.454,38.472,38.473
41.89,41.925,42.024,42.088,42.094,42.108,42.311,42.316,42.455,42.477,42.549,42.562,42.643,42.851,42.869,42.901,43.01,43.083,43.086,43.295,43.309,43.4,43.47,43.489,43.526,43.555,43.563,43.654,43.705,43.714,43.854,43.898,43.916,43.933,44.051,44.054,44.209,44.255,44.308,44.321,44.453,44.549,44.552,44.558,44.564,44.583,44.657,44.767,44.787,44.789
47.756,47.796,47.909,47.982,47.989,48.004,48.236,48.242,48.4,48.425,48.507,48.522,48.614,48.852,48.872,48.908,49.032,49.116,49.12,49.358,49.373,49.478,49.557,49.579,49.621,49.654,49.663,49.767,49.825,49.835,49.995,50.045,50.065,50.084,50.219,50.223,50.399,50.452,50.512,50.527,50.677,50.787,50.791,50.797,50.804,50.826,50.911,51.035,51.059,51.06
53.574,53.619,53.747,53.828,53.836,53.853,54.113,54.12,54.297,54.325,54.417,54.434,54.538,54.804,54.826,54.867,55.007,55.101,55.105,55.372,55.389,55.506,55.596,55.62,55.667,55.704,55.714,55.831,55.896,55.907,56.087,56.142,56.165,56.187,56.338,56.343,56.54,56.599,56.666,56.684,56.852,56.975,56.98,56.987,56.994,57.018,57.114,57.254,57.28,57.282
59.34,59.39,59.531,59.621,59.63,59.649,59.937,59.944,60.141,60.172,60.273,60.292,60.407,60.702,60.727,60.772,60.927,61.031,61.035,61.331,61.35,61.48,61.579,61.606,61.659,61.699,61.71,61.84,61.912,61.924,62.123,62.184,62.21,62.234,62.401,62.406,62.625,62.691,62.765,62.784,62.971,63.107,63.112,63.12,63.128,63.155,63.26,63.415,63.445,63.447
65.047,65.102,65.257,65.355,65.365,65.386,65.702,65.71,65.925,65.959,66.07,66.091,66.217,66.541,66.567,66.617,66.786,66.901,66.905,67.23,67.251,67.393,67.501,67.531,67.589,67.633,67.645,67.787,67.866,67.88,68.098,68.165,68.193,68.22,68.403,68.409,68.648,68.72,68.802,68.823,69.027,69.176,69.182,69.191,69.2,69.229,69.345,69.515,69.547,69.549
