4.0008e-09,4.248e-09,4.3487e-09,4.3915e-09,4.4841e-09,4.5979e-09,4.6778e-09,4.7262e-09,4.7392e-09,4.7496e-09,4.7713e-09,4.7952e-09,4.8931e-09,4.9372e-09,4.9414e-09,4.9794e-09,4.9925e-09,5.0016e-09,5.0333e-09,5.0907e-09,5.1966e-09,5.2429e-09,5.4612e-09,5.8447e-09,6.0395e-09,6.0437e-09,6.2864e-09,6.3667e-09,6.4089e-09,6.7394e-09,6.8141e-09,6.9912e-09,7.0337e-09,7.084e-09,7.1229e-09,7.5436e-09,7.659e-09,7.6685e-09,8.0133e-09,8.0402e-09,8.0467e-09,8.2911e-09,8.4229e-09,8.4299e-09,8.544e-09,8.8929e-09,8.9065e-09,9.6008e-09,9.6637e-09,9.7136e-09
6.0428,6.0536,6.0588,6.0728,6.078,6.0795,6.08,6.0822,6.0871,6.0883,6.0956,6.1052,6.1155,6.1217,6.123,6.1252,6.1267,6.138,6.1432,6.1523,6.1525,6.1597,6.1818,6.1902,6.1915,6.192,6.1924,6.1979,6.2093,6.2177,6.22,6.2204,6.2237,6.2509,6.2761,6.2921,6.299,6.3007,6.3015,6.303,6.3043,6.3098,6.3311,6.3322,6.333,6.3356,6.3466,6.3572,6.3926,6.4071
12.08,12.101,12.112,12.14,12.15,12.153,12.154,12.158,12.168,12.171,12.185,12.204,12.225,12.237,12.24,12.244,12.247,12.27,12.28,12.299,12.299,12.313,12.358,12.374,12.377,12.378,12.379,12.39,12.412,12.429,12.434,12.435,12.441,12.496,12.546,12.578,12.592,12.595,12.597,12.6,12.602,12.613,12.656,12.658,12.66,12.665,12.687,12.708,12.779,12.808
18.105,18.137,18.152,18.194,18.21,18.215,18.216,18.223,18.237,18.241,18.263,18.292,18.322,18.341,18.345,18.351,18.356,18.39,18.405,18.433,18.433,18.455,18.521,18.546,18.55,18.551,18.553,18.569,18.603,18.629,18.635,18.637,18.647,18.728,18.804,18.851,18.872,18.877,18.88,18.884,18.888,18.904,18.968,18.972,18.974,18.982,19.015,19.047,19.153,19.196
24.112,24.155,24.175,24.231,24.252,24.258,24.26,24.269,24.288,24.293,24.322,24.361,24.402,24.426,24.432,24.44,24.446,24.491,24.512,24.549,24.549,24.578,24.666,24.7,24.705,24.707,24.709,24.731,24.776,24.81,24.819,24.82,24.834,24.942,25.043,25.106,25.134,25.141,25.144,25.15,25.155,25.177,25.262,25.266,25.269,25.28,25.324,25.366,25.507,25.565
30.095,30.149,30.174,30.244,30.27,30.278,30.28,30.291,30.315,30.321,30.358,30.406,30.457,30.488,30.494,30.505,30.513,30.569,30.595,30.64,30.641,30.677,30.787,30.829,30.835,30.838,30.84,30.868,30.924,30.966,30.977,30.979,30.996,31.131,31.257,31.336,31.371,31.379,31.383,31.391,31.397,31.424,31.531,31.536,31.54,31.553,31.608,31.661,31.837,31.909
36.048,36.113,36.144,36.227,36.258,36.268,36.27,36.283,36.312,36.32,36.363,36.421,36.482,36.519,36.527,36.54,36.549,36.616,36.648,36.702,36.703,36.746,36.878,36.928,36.936,36.938,36.941,36.974,37.041,37.092,37.105,37.108,37.128,37.29,37.44,37.535,37.577,37.587,37.592,37.601,37.608,37.641,37.768,37.775,37.78,37.795,37.86,37.924,38.135,38.221
41.966,42.042,42.077,42.175,42.211,42.221,42.225,42.24,42.274,42.282,42.333,42.4,42.471,42.514,42.524,42.538,42.549,42.628,42.664,42.727,42.728,42.778,42.932,42.99,42.999,43.002,43.006,43.044,43.122,43.181,43.197,43.2,43.223,43.411,43.587,43.697,43.746,43.757,43.763,43.774,43.782,43.82,43.968,43.976,43.982,44,44.076,44.15,44.396,44.496
47.843,47.929,47.969,48.081,48.122,48.134,48.137,48.155,48.193,48.203,48.261,48.337,48.418,48.468,48.478,48.495,48.507,48.597,48.638,48.71,48.711,48.768,48.944,49.01,49.02,49.024,49.028,49.071,49.161,49.228,49.246,49.249,49.276,49.49,49.69,49.816,49.872,49.885,49.891,49.903,49.913,49.957,50.125,50.134,50.14,50.161,50.248,50.332,50.612,50.727
53.672,53.768,53.814,53.939,53.985,53.999,54.002,54.022,54.065,54.076,54.141,54.227,54.318,54.373,54.385,54.404,54.417,54.518,54.564,54.645,54.647,54.71,54.907,54.982,54.993,54.997,55.001,55.05,55.151,55.226,55.246,55.25,55.279,55.52,55.745,55.886,55.948,55.963,55.97,55.984,55.995,56.044,56.233,56.243,56.25,56.273,56.37,56.465,56.779,56.908
